21:17:20 [INFO] Opening target process: csgo.exe
21:17:20 [INFO] Found signature: set_abs_origin => 0x1E57D0
21:17:20 [INFO] Found signature: is_c4_owner => 0x3C9D70
21:17:20 [INFO] Found signature: force_update_spectator_glow => 0x3BCCEA
21:17:20 [INFO] Found signature: anim_overlays => 0x2990
21:17:20 [INFO] Found signature: m_flSpawnTime => 0x103C0
21:17:20 [INFO] Found signature: find_hud_element => 0x533655B0
21:17:20 [INFO] Finished signature scanning: 57/57 items successful
21:17:20 [INFO] Starting netvar scanning: 93 items
21:17:20 [INFO] Found netvar: m_ArmorValue => 0x117CC
21:17:20 [INFO] Found netvar: m_Collision => 0x320
21:17:20 [INFO] Found netvar: m_CollisionGroup => 0x474
21:17:20 [INFO] Found netvar: m_Local => 0x2FCC
21:17:20 [INFO] Found netvar: m_MoveType => 0x25B
21:17:20 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
21:17:20 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
21:17:20 [INFO] Found netvar: m_aimPunchAngle => 0x303C
21:17:20 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
21:17:20 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
21:17:20 [INFO] Found netvar: m_bHasDefuser => 0x117DC
21:17:20 [INFO] Found netvar: m_bHasHelmet => 0x117C0
21:17:20 [INFO] Found netvar: m_bInReload => 0x3248
21:17:20 [INFO] Found netvar: m_bIsDefusing => 0x997C
21:17:20 [INFO] Found netvar: m_bIsScoped => 0x9974
21:17:20 [INFO] Found netvar: m_bSpotted => 0x93D
21:17:20 [INFO] Found netvar: m_bSpottedByMask => 0x980
21:17:20 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
21:17:20 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
21:17:20 [INFO] Found netvar: m_fFlags => 0x104
21:17:20 [INFO] Found netvar: m_hViewModel => 0x3308
21:17:20 [INFO] Found netvar: m_flFallbackWear => 0x31E0
21:17:20 [INFO] Found netvar: m_flFlashDuration => 0x10470
21:17:20 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
21:17:20 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
21:17:20 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
21:17:20 [INFO] Found netvar: m_hMyWeapons => 0x2F08
21:17:20 [INFO] Found netvar: m_hObserverTarget => 0x339C
21:17:20 [INFO] Found netvar: m_hOwner => 0x29DC
21:17:20 [INFO] Found netvar: m_hOwnerEntity => 0x14C
21:17:20 [INFO] Found netvar: m_iAccountID => 0x2FD8
21:17:20 [INFO] Found netvar: m_iClip1 => 0x3274
21:17:20 [INFO] Found netvar: m_zoomLevel => 0x33E0
21:17:20 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
21:17:20 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
21:17:20 [INFO] Found netvar: m_iCrosshairId => 0x117DC
21:17:20 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
21:17:20 [INFO] Found netvar: m_iFOVStart => 0x31F8
21:17:20 [INFO] Found netvar: m_iGlowIndex => 0x10470
21:17:20 [INFO] Found netvar: m_iHealth => 0x100
21:17:20 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
21:17:20 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
21:17:20 [INFO] Found netvar: m_iObserverMode => 0x3388
21:17:20 [INFO] Found netvar: m_iShotsFired => 0x103E0
21:17:20 [INFO] Found netvar: m_iState => 0x3268
21:17:20 [INFO] Found netvar: m_iTeamNum => 0xF4
21:17:20 [INFO] Found netvar: m_lifeState => 0x25F
21:17:20 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
21:17:20 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
21:17:20 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
21:17:20 [INFO] Found netvar: m_iDefaultFOV => 0x333C
21:17:20 [INFO] Found netvar: m_iFOV => 0x31F4
21:17:20 [INFO] Found netvar: m_nForceBone => 0x268C
21:17:20 [INFO] Found netvar: m_nTickBase => 0x3440
21:17:20 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
21:17:20 [INFO] Found netvar: m_szCustomName => 0x304C
21:17:20 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
21:17:20 [INFO] Found netvar: m_vecOrigin => 0x138
21:17:20 [INFO] Found netvar: m_vecVelocity => 0x114
21:17:20 [INFO] Found netvar: m_vecViewOffset => 0x108
21:17:20 [INFO] Found netvar: m_viewPunchAngle => 0x3030
21:17:20 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
21:17:20 [INFO] Found netvar: m_clrRender => 0x70
21:17:20 [INFO] Found netvar: m_bBombTicking => 0x2990
21:17:20 [INFO] Found netvar: m_bBombDefused => 0x29C0
21:17:20 [INFO] Found netvar: m_flC4Blow => 0x29A0
21:17:20 [INFO] Found netvar: m_hBombDefuser => 0x29C4
21:17:20 [INFO] Found netvar: m_flTimerLength => 0x29A4
21:17:20 [INFO] Found netvar: m_flDefuseLength => 0x29B8
21:17:20 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
21:17:20 [INFO] Found netvar: m_nBombSite => 0x2994
21:17:20 [INFO] Found netvar: cs_gamerules_data => 0x0
21:17:20 [INFO] Found netvar: m_SurvivalRules => 0xD00
21:17:20 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
21:17:20 [INFO] Found netvar: m_bIsValveDS => 0x7C
21:17:20 [INFO] Found netvar: m_bFreezePeriod => 0x20
21:17:20 [INFO] Found netvar: m_bBombPlanted => 0x9A5
21:17:20 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
21:17:20 [INFO] Found netvar: m_flSimulationTime => 0x268
21:17:20 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
21:17:20 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
21:17:20 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
21:17:20 [INFO] Found netvar: m_flNextAttack => 0x2D80
21:17:20 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
21:17:20 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
21:17:20 [INFO] Found netvar: m_bStartedArming => 0x3400
21:17:20 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
21:17:20 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
21:17:20 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
21:17:20 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
21:17:20 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
21:17:20 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
21:17:20 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
21:17:20 [INFO] Finished netvar scanning: 93/93 items successful
12:53:09 [INFO] Opening target process: csgo.exe
12:53:09 [INFO] Starting signature scanning: 57 items
12:53:09 [INFO] Found signature: dwClientState => 0x58BFDC
12:53:09 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
12:53:09 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
12:53:09 [INFO] Found signature: dwClientState_Map => 0x28C
12:53:09 [INFO] Found signature: dwClientState_MapDirectory => 0x188
12:53:09 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
12:53:09 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
12:53:09 [INFO] Found signature: dwClientState_State => 0x108
12:53:09 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
12:53:09 [INFO] Found signature: clientstate_delta_ticks => 0x174
12:53:09 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
12:53:09 [INFO] Found signature: clientstate_choked_commands => 0x4D30
12:53:09 [INFO] Found signature: clientstate_net_channel => 0x9C
12:53:09 [INFO] Found signature: dwEntityList => 0x4DD69DC
12:53:09 [INFO] Found signature: dwForceAttack => 0x3206E9C
12:53:09 [INFO] Found signature: dwForceAttack2 => 0x3206EA8
12:53:09 [INFO] Found signature: dwForceBackward => 0x3206EE4
12:53:09 [INFO] Found signature: dwForceForward => 0x3206ED8
12:53:09 [INFO] Found signature: dwForceJump => 0x5280924
12:53:09 [INFO] Found signature: dwForceLeft => 0x3206EF0
12:53:09 [INFO] Found signature: dwForceRight => 0x3206EFC
12:53:09 [INFO] Found signature: dwGameDir => 0x62A900
12:53:09 [INFO] Found signature: dwGameRulesProxy => 0x52F414C
12:53:09 [INFO] Found signature: dwGetAllClasses => 0xDE4CEC
12:53:09 [INFO] Found signature: dwGlobalVars => 0x58BCE0
12:53:09 [INFO] Found signature: dwGlowObjectManager => 0x531F608
12:53:09 [INFO] Found signature: dwInput => 0x5227FB0
12:53:09 [INFO] Found signature: dwInterfaceLinkList => 0x96B264
12:53:09 [INFO] Found signature: dwLocalPlayer => 0xDBA5BC
12:53:09 [INFO] Found signature: dwMouseEnable => 0xDC02C8
12:53:09 [INFO] Found signature: dwMouseEnablePtr => 0xDC0298
12:53:09 [INFO] Found signature: dwPlayerResource => 0x3205240
12:53:09 [INFO] Found signature: dwRadarBase => 0x520B754
12:53:09 [INFO] Found signature: dwSensitivity => 0xDC0164
12:53:09 [INFO] Found signature: dwSensitivityPtr => 0xDC0138
12:53:09 [INFO] Found signature: dwSetClanTag => 0x8A320
12:53:09 [INFO] Found signature: dwViewMatrix => 0x4DC82F4
12:53:09 [INFO] Found signature: dwWeaponTable => 0x5228A74
12:53:09 [INFO] Found signature: dwWeaponTableIndex => 0x326C
12:53:09 [INFO] Found signature: dwYawPtr => 0xDBFF28
12:53:09 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDC6660
12:53:09 [INFO] Found signature: dwbSendPackets => 0xD81A2
12:53:09 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
12:53:09 [INFO] Found signature: m_pStudioHdr => 0x2950
12:53:09 [INFO] Found signature: m_yawClassPtr => 0xDBFF28
12:53:09 [INFO] Found signature: m_pitchClassPtr => 0x520B9F0
12:53:09 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
12:53:09 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
12:53:09 [INFO] Found signature: m_bDormant => 0xED
12:53:09 [INFO] Found signature: model_ambient_min => 0x58F054
12:53:09 [INFO] Found signature: set_abs_angles => 0x1E5990
12:53:09 [INFO] Found signature: set_abs_origin => 0x1E57D0
12:53:09 [INFO] Found signature: is_c4_owner => 0x3C9D70
12:53:09 [INFO] Found signature: force_update_spectator_glow => 0x3BCCEA
12:53:09 [INFO] Found signature: anim_overlays => 0x2990
12:53:09 [INFO] Found signature: m_flSpawnTime => 0x103C0
12:53:09 [INFO] Found signature: find_hud_element => 0x524255B0
12:53:09 [INFO] Finished signature scanning: 57/57 items successful
12:53:09 [INFO] Starting netvar scanning: 93 items
12:53:09 [INFO] Found netvar: m_ArmorValue => 0x117CC
12:53:09 [INFO] Found netvar: m_Collision => 0x320
12:53:09 [INFO] Found netvar: m_CollisionGroup => 0x474
12:53:09 [INFO] Found netvar: m_Local => 0x2FCC
12:53:09 [INFO] Found netvar: m_MoveType => 0x25B
12:53:09 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
12:53:09 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
12:53:09 [INFO] Found netvar: m_aimPunchAngle => 0x303C
12:53:09 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
12:53:09 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
12:53:09 [INFO] Found netvar: m_bHasDefuser => 0x117DC
12:53:09 [INFO] Found netvar: m_bHasHelmet => 0x117C0
12:53:09 [INFO] Found netvar: m_bInReload => 0x3248
12:53:09 [INFO] Found netvar: m_bIsDefusing => 0x997C
12:53:09 [INFO] Found netvar: m_bIsScoped => 0x9974
12:53:09 [INFO] Found netvar: m_bSpotted => 0x93D
12:53:09 [INFO] Found netvar: m_bSpottedByMask => 0x980
12:53:09 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
12:53:09 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
12:53:09 [INFO] Found netvar: m_fFlags => 0x104
12:53:09 [INFO] Found netvar: m_hViewModel => 0x3308
12:53:09 [INFO] Found netvar: m_flFallbackWear => 0x31E0
12:53:09 [INFO] Found netvar: m_flFlashDuration => 0x10470
12:53:09 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
12:53:09 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
12:53:09 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
12:53:09 [INFO] Found netvar: m_hMyWeapons => 0x2F08
12:53:09 [INFO] Found netvar: m_hObserverTarget => 0x339C
12:53:09 [INFO] Found netvar: m_hOwner => 0x29DC
12:53:09 [INFO] Found netvar: m_hOwnerEntity => 0x14C
12:53:09 [INFO] Found netvar: m_iAccountID => 0x2FD8
12:53:09 [INFO] Found netvar: m_iClip1 => 0x3274
12:53:09 [INFO] Found netvar: m_zoomLevel => 0x33E0
12:53:09 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
12:53:09 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
12:53:09 [INFO] Found netvar: m_iCrosshairId => 0x117DC
12:53:09 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
12:53:09 [INFO] Found netvar: m_iFOVStart => 0x31F8
12:53:09 [INFO] Found netvar: m_iGlowIndex => 0x10470
12:53:09 [INFO] Found netvar: m_iHealth => 0x100
12:53:09 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
12:53:09 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
12:53:09 [INFO] Found netvar: m_iObserverMode => 0x3388
12:53:09 [INFO] Found netvar: m_iShotsFired => 0x103E0
12:53:09 [INFO] Found netvar: m_iState => 0x3268
12:53:09 [INFO] Found netvar: m_iTeamNum => 0xF4
12:53:09 [INFO] Found netvar: m_lifeState => 0x25F
12:53:09 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
12:53:09 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
12:53:09 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
12:53:09 [INFO] Found netvar: m_iDefaultFOV => 0x333C
12:53:09 [INFO] Found netvar: m_iFOV => 0x31F4
12:53:09 [INFO] Found netvar: m_nForceBone => 0x268C
12:53:09 [INFO] Found netvar: m_nTickBase => 0x3440
12:53:09 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
12:53:09 [INFO] Found netvar: m_szCustomName => 0x304C
12:53:09 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
12:53:09 [INFO] Found netvar: m_vecOrigin => 0x138
12:53:09 [INFO] Found netvar: m_vecVelocity => 0x114
12:53:09 [INFO] Found netvar: m_vecViewOffset => 0x108
12:53:09 [INFO] Found netvar: m_viewPunchAngle => 0x3030
12:53:09 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
12:53:09 [INFO] Found netvar: m_clrRender => 0x70
12:53:09 [INFO] Found netvar: m_bBombTicking => 0x2990
12:53:09 [INFO] Found netvar: m_bBombDefused => 0x29C0
12:53:09 [INFO] Found netvar: m_flC4Blow => 0x29A0
12:53:09 [INFO] Found netvar: m_hBombDefuser => 0x29C4
12:53:09 [INFO] Found netvar: m_flTimerLength => 0x29A4
12:53:09 [INFO] Found netvar: m_flDefuseLength => 0x29B8
12:53:09 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
12:53:09 [INFO] Found netvar: m_nBombSite => 0x2994
12:53:09 [INFO] Found netvar: cs_gamerules_data => 0x0
12:53:09 [INFO] Found netvar: m_SurvivalRules => 0xD00
12:53:09 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
12:53:09 [INFO] Found netvar: m_bIsValveDS => 0x7C
12:53:09 [INFO] Found netvar: m_bFreezePeriod => 0x20
12:53:09 [INFO] Found netvar: m_bBombPlanted => 0x9A5
12:53:09 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
12:53:09 [INFO] Found netvar: m_flSimulationTime => 0x268
12:53:09 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
12:53:09 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
12:53:09 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
12:53:09 [INFO] Found netvar: m_flNextAttack => 0x2D80
12:53:09 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
12:53:09 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
12:53:09 [INFO] Found netvar: m_bStartedArming => 0x3400
12:53:09 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
12:53:09 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
12:53:09 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
12:53:09 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
12:53:09 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
12:53:09 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
12:53:09 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
12:53:09 [INFO] Finished netvar scanning: 93/93 items successful
18:41:51 [INFO] Opening target process: csgo.exe
18:41:51 [INFO] Starting signature scanning: 57 items
18:41:51 [INFO] Found signature: dwClientState => 0x58BFDC
18:41:51 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
18:41:51 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
18:41:51 [INFO] Found signature: dwClientState_Map => 0x28C
18:41:51 [INFO] Found signature: dwClientState_MapDirectory => 0x188
18:41:51 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
18:41:51 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
18:41:51 [INFO] Found signature: dwClientState_State => 0x108
18:41:51 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
18:41:51 [INFO] Found signature: clientstate_delta_ticks => 0x174
18:41:51 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
18:41:51 [INFO] Found signature: clientstate_choked_commands => 0x4D30
18:41:51 [INFO] Found signature: clientstate_net_channel => 0x9C
18:41:52 [INFO] Found signature: dwEntityList => 0x4DD69DC
18:41:52 [INFO] Found signature: dwForceAttack => 0x3206E9C
18:41:52 [INFO] Found signature: dwForceAttack2 => 0x3206EA8
18:41:52 [INFO] Found signature: dwForceBackward => 0x3206EE4
18:41:52 [INFO] Found signature: dwForceForward => 0x3206ED8
18:41:52 [INFO] Found signature: dwForceJump => 0x5280924
18:41:52 [INFO] Found signature: dwForceLeft => 0x3206EF0
18:41:52 [INFO] Found signature: dwForceRight => 0x3206EFC
18:41:52 [INFO] Found signature: dwGameDir => 0x62A900
18:41:52 [INFO] Found signature: dwGameRulesProxy => 0x52F414C
18:41:52 [INFO] Found signature: dwGetAllClasses => 0xDE4CEC
18:41:52 [INFO] Found signature: dwGlobalVars => 0x58BCE0
18:41:52 [INFO] Found signature: dwGlowObjectManager => 0x531F608
18:41:52 [INFO] Found signature: dwInput => 0x5227FB0
18:41:52 [INFO] Found signature: dwInterfaceLinkList => 0x96B264
18:41:52 [INFO] Found signature: dwLocalPlayer => 0xDBA5BC
18:41:52 [INFO] Found signature: dwMouseEnable => 0xDC02C8
18:41:52 [INFO] Found signature: dwMouseEnablePtr => 0xDC0298
18:41:52 [INFO] Found signature: dwPlayerResource => 0x3205240
18:41:52 [INFO] Found signature: dwRadarBase => 0x520B754
18:41:52 [INFO] Found signature: dwSensitivity => 0xDC0164
18:41:52 [INFO] Found signature: dwSensitivityPtr => 0xDC0138
18:41:52 [INFO] Found signature: dwSetClanTag => 0x8A320
18:41:52 [INFO] Found signature: dwViewMatrix => 0x4DC82F4
18:41:52 [INFO] Found signature: dwWeaponTable => 0x5228A74
18:41:52 [INFO] Found signature: dwWeaponTableIndex => 0x326C
18:41:52 [INFO] Found signature: dwYawPtr => 0xDBFF28
18:41:52 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDC6660
18:41:52 [INFO] Found signature: dwbSendPackets => 0xD81A2
18:41:52 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
18:41:52 [INFO] Found signature: m_pStudioHdr => 0x2950
18:41:52 [INFO] Found signature: m_yawClassPtr => 0xDBFF28
18:41:52 [INFO] Found signature: m_pitchClassPtr => 0x520B9F0
18:41:52 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
18:41:52 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
18:41:52 [INFO] Found signature: m_bDormant => 0xED
18:41:52 [INFO] Found signature: model_ambient_min => 0x58F054
18:41:52 [INFO] Found signature: set_abs_angles => 0x1E5990
18:41:52 [INFO] Found signature: set_abs_origin => 0x1E57D0
18:41:52 [INFO] Found signature: is_c4_owner => 0x3C9D70
18:41:52 [INFO] Found signature: force_update_spectator_glow => 0x3BCCEA
18:41:52 [INFO] Found signature: anim_overlays => 0x2990
18:41:52 [INFO] Found signature: m_flSpawnTime => 0x103C0
18:41:52 [INFO] Found signature: find_hud_element => 0x2F6455B0
18:41:52 [INFO] Finished signature scanning: 57/57 items successful
18:41:52 [INFO] Starting netvar scanning: 93 items
18:41:52 [INFO] Found netvar: m_ArmorValue => 0x117CC
18:41:52 [INFO] Found netvar: m_Collision => 0x320
18:41:52 [INFO] Found netvar: m_CollisionGroup => 0x474
18:41:52 [INFO] Found netvar: m_Local => 0x2FCC
18:41:52 [INFO] Found netvar: m_MoveType => 0x25B
18:41:52 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
18:41:52 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
18:41:52 [INFO] Found netvar: m_aimPunchAngle => 0x303C
18:41:52 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
18:41:52 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
18:41:52 [INFO] Found netvar: m_bHasDefuser => 0x117DC
18:41:52 [INFO] Found netvar: m_bHasHelmet => 0x117C0
18:41:52 [INFO] Found netvar: m_bInReload => 0x3248
18:41:52 [INFO] Found netvar: m_bIsDefusing => 0x997C
18:41:52 [INFO] Found netvar: m_bIsScoped => 0x9974
18:41:52 [INFO] Found netvar: m_bSpotted => 0x93D
18:41:52 [INFO] Found netvar: m_bSpottedByMask => 0x980
18:41:52 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
18:41:52 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
18:41:52 [INFO] Found netvar: m_fFlags => 0x104
18:41:52 [INFO] Found netvar: m_hViewModel => 0x3308
18:41:52 [INFO] Found netvar: m_flFallbackWear => 0x31E0
18:41:52 [INFO] Found netvar: m_flFlashDuration => 0x10470
18:41:52 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
18:41:52 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
18:41:52 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
18:41:52 [INFO] Found netvar: m_hMyWeapons => 0x2F08
18:41:52 [INFO] Found netvar: m_hObserverTarget => 0x339C
18:41:52 [INFO] Found netvar: m_hOwner => 0x29DC
18:41:52 [INFO] Found netvar: m_hOwnerEntity => 0x14C
18:41:52 [INFO] Found netvar: m_iAccountID => 0x2FD8
18:41:52 [INFO] Found netvar: m_iClip1 => 0x3274
18:41:52 [INFO] Found netvar: m_zoomLevel => 0x33E0
18:41:52 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
18:41:52 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
18:41:52 [INFO] Found netvar: m_iCrosshairId => 0x117DC
18:41:52 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
18:41:52 [INFO] Found netvar: m_iFOVStart => 0x31F8
18:41:52 [INFO] Found netvar: m_iGlowIndex => 0x10470
18:41:52 [INFO] Found netvar: m_iHealth => 0x100
18:41:52 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
18:41:52 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
18:41:52 [INFO] Found netvar: m_iObserverMode => 0x3388
18:41:52 [INFO] Found netvar: m_iShotsFired => 0x103E0
18:41:52 [INFO] Found netvar: m_iState => 0x3268
